timestamp,node_id,channel_type,message_type,bit_sequence,timing_delay,lsb_encoded_value,payload_size,protocol_used,throughput_bps,error_rate
36.420197247,25,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
38.4443793,26,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
39.118817844,25,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
39.808638793,45,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
41.104634164,26,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
42.494259374,36,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
42.792866848,45,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
42.825431516,25,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
44.317199009,25,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
44.394550024,26,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
44.830195091,26,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
45.393995751,36,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
45.869803746,45,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
46.432382352,45,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
47.105601899,25,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
48.510846879,36,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
48.780863347,36,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
49.222505969,26,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
50.299893966,25,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
50.50509195,26,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
50.686753398,45,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
51.094988124,25,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
51.876825367,45,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
53.451359796,36,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
53.537691685,26,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
54.522340761,36,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
54.538805593,34,c2_udp,exfil,10110011100101101011001110010110,0,0,139,UDP/EXF,1000,0.01
54.643683128,25,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
54.64469055,45,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
56.902581658,26,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
57.186533547,36,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
57.387131097,34,c2_udp,beacon,10110011100101101011001110010110,0.35,1,139,UDP/EXF,1000,0.01
58.206507793,25,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
58.312487854,45,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
58.502771143,26,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
58.845767575,25,c2_udp,beacon,10110011100101101011001110010110,0.0,0,139,UDP/EXF,1000,0.01
59.674127113,45,c2_udp,exfil,10110011100101101011001110010110,0,1,139,UDP/EXF,1000,0.01
