timestamp,node_id,position_x,position_y,actual_temperature,reported_temperature,temperature_variance,is_on_fire,heat_level,received_heat,fire_start_time,is_attacker,attack_triggered,attack_mode,coalition_active,battery_level_reserved,sensor_health_reserved,neighbor_count,packets_sent,packets_received,packets_dropped,malicious_packets_sent,spoofing_count,drift_offset
1.222912192,1,15.0,0.0,21.116053690744113,21.116053690744113,1.505640973345624,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
1.352285918,0,0.0,0.0,23.19713399228942,23.19713399228942,1.761259442516592,False,0.0,0.0,0,False,False,None,False,,,3,0,0,0,0,0,0.0
1.513949138,2,30.0,0.0,23.682356070820063,23.682356070820063,1.5333264718500303,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
1.744693982,3,45.0,0.0,20.434694163147082,20.434694163147082,2.270758138677688,False,0.0,0.0,0,True,False,None,False,,,5,0,0,0,0,0,0.0
1.839895988,4,60.0,0.0,22.109609098426354,22.109609098426354,4.023191120350349,False,0.0,0.0,0,False,False,None,False,,,3,0,0,0,0,0,0.0
2.0,1,15.0,0.0,23.234168645535252,23.234168645535252,3.0043590079840903,False,0.0,0.0,0,False,False,None,False,,,5,1,0,0,0,0,0.0
2.116395443,5,0.0,15.0,22.526776440516812,22.526776440516812,3.526965216118537,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
2.250500715,6,15.0,15.0,20.13267984841932,20.13267984841932,1.811414644152918,False,0.0,0.0,0,False,False,None,False,,,8,0,0,0,0,0,0.0
2.538986802,7,30.0,15.0,22.724707403016083,22.724707403016083,3.0594607047533353,False,0.0,0.0,0,False,False,None,False,,,8,0,0,0,0,0,0.0
2.917842222,8,45.0,15.0,21.102203110203483,21.102203110203483,3.6274219636929455,False,0.0,0.0,0,True,False,None,False,,,8,0,0,0,0,0,0.0
2.982416089,9,60.0,15.0,20.032493798390306,20.032493798390306,3.492470889103881,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
3.185090484,10,0.0,30.0,24.02909625916404,24.02909625916404,1.324512294910368,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
3.281553945,0,0.0,0.0,25.07185970940879,25.07185970940879,0.4325652044667432,False,0.0,0.0,0,False,False,None,False,,,3,1,0,0,0,0,0.0
3.302291613,1,15.0,0.0,22.87473733230165,22.87473733230165,2.490372187185185,False,0.0,0.0,0,False,False,None,False,,,5,2,0,0,0,0,0.0
3.304753515,11,15.0,30.0,20.777397499058907,20.777397499058907,0.6541115522228031,False,0.0,0.0,0,False,False,None,False,,,8,0,0,0,0,0,0.0
3.468227027,2,30.0,0.0,24.4861392977307,24.4861392977307,2.8821514710216514,False,0.0,0.0,0,False,False,None,False,,,5,1,0,0,0,0,0.0
3.533488911,12,30.0,30.0,24.786065361033906,24.786065361033906,1.8768421880901203,False,0.0,0.0,0,True,False,None,False,,,8,0,0,0,0,0,0.0
3.69130376,3,45.0,0.0,24.720197058898524,24.720197058898524,0.8568402930262853,False,0.0,0.0,0,True,False,None,False,,,5,1,0,0,0,0,0.0
3.826971974,4,60.0,0.0,21.009360671525577,21.009360671525577,1.373232156353362,False,0.0,0.0,0,False,False,None,False,,,3,1,0,0,0,0,0.0
3.938468587,1,15.0,0.0,20.732780181142978,20.732780181142978,1.7239460103631452,False,0.0,0.0,0,False,False,None,False,,,5,3,0,0,0,0,0.0
4.068327294,13,45.0,30.0,20.48358188416732,20.48358188416732,1.9582354429468478,False,0.0,0.0,0,False,False,None,False,,,8,0,0,0,0,0,0.0
4.076320201,5,0.0,15.0,22.629527131812967,22.629527131812967,2.3934347562508123,False,0.0,0.0,0,False,False,None,False,,,5,1,0,0,0,0,0.0
4.124017693,14,60.0,30.0,24.2374718317373,24.2374718317373,1.3292133896418856,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
4.215160714,6,15.0,15.0,24.13106203022782,24.13106203022782,2.2972419366179286,False,0.0,0.0,0,False,False,None,False,,,8,1,0,0,0,0,0.0
4.285569324,16,15.0,45.0,22.681140457273504,22.681140457273504,1.8351549405412881,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
4.304565503,15,0.0,45.0,23.64865893346909,23.64865893346909,0.953717245658637,False,0.0,0.0,0,False,False,None,False,,,3,0,0,0,0,0,0.0
4.523370864,7,30.0,15.0,22.287081734119262,22.287081734119262,1.8488149416280555,False,0.0,0.0,0,False,False,None,False,,,8,1,0,0,0,0,0.0
4.681701247,18,45.0,45.0,24.147023321264975,24.147023321264975,1.3504826216066266,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
4.764563399,17,30.0,45.0,22.760203156366135,22.760203156366135,2.277796968873716,False,0.0,0.0,0,False,False,None,False,,,5,0,0,0,0,0,0.0
4.849494739,8,45.0,15.0,20.58870679555951,20.58870679555951,1.2465226716279119,False,0.0,0.0,0,True,False,None,False,,,8,1,0,0,0,0,0.0
